"Environment and Climate Change Canada"
"Monthly Values for October - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","6.2","7",NA,"21.1","7","-5.0","6","",,NA,"0.0","27",NA,"","0","",,NA,"283.1","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","4.5","2",NA,"16.8","2","-5.2","1","",,NA,"0.0","1",NA,"","0","",,NA,"391.9","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","3.9","0",NA,"17.0","0","-10.8","0","",,NA,"35.0","0",NA,"6.0","10","",,NA,"436.3","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","6.0","0",NA,"19.5","0","-7.3","0","",,NA,"54.7","0",NA,"5.0","9","",,NA,"372.8","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","3.7","18",NA,"16.5","18","-5.2","17","",,NA,"22.9","18",NA,"","6","",,NA,"186.0","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","4.8","2",NA,"19.8","2","-11.8","0","",,NA,"193.6","2",NA,"0.0","9","",,NA,"384.2","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","2.6","15",NA,"18.2","15","-8.0","15","",,NA,"6.1","15",NA,"","2","",,NA,"246.1","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","2.2","4",NA,"16.0","4","-6.2","3","",,NA,"34.7","4",NA,"0.0","9","",,NA,"427.3","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","5.5","1",NA,"18.5","0","-9.4","1","",,NA,"30.7","1",NA,"13.0","8","",,NA,"375.2","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"18.7","6","",,"",,NA,"",,NA,"19.0","","",,NA,"","","6016529"
