"Environment and Climate Change Canada"
"Monthly Values for November - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","-9.8","17",NA,"1.3","17","-18.8","17","",,NA,"16.1","18",NA,"","3","",,NA,"361.1","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","-11.2","1",NA,"-1.0","1","-22.4","1","",,NA,"0.0","15",NA,"","0","",,NA,"845.4","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","-11.4","0",NA,"-0.9","0","-22.4","0","",,NA,"43.8","0",NA,"35.0","11","",,NA,"882.0","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","-7.5","0",NA,"2.1","0","-20.6","0","",,NA,"43.2","0",NA,"17.0","11","",,NA,"764.1","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","-12.3","13",NA,"-2.1","13","-23.0","12","",,NA,"8.7","13",NA,"","2","",,NA,"514.5","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-10.4","1",NA,"1.3","1","-25.0","0","",,NA,"42.6","1",NA,"16.0","13","",,NA,"824.3","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","-11.6","4",NA,"-0.4","4","-27.6","4","",,NA,"0.0","5",NA,"","0","",,NA,"768.4","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-11.8","1",NA,"-0.7","1","-24.8","0","",,NA,"14.6","1",NA,"4.0","4","",,NA,"863.9","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-9.6","0",NA,"1.0","0","-24.8","0","",,NA,"60.7","0",NA,"25.0","14","",,NA,"829.2","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"0.9","6","",,"",,NA,"",,NA,"30.0","","",,NA,"","","6016529"
