"Environment and Climate Change Canada"
"Monthly Values for December - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","-18.2","5",NA,"4.2","5","-36.3","5","",,NA,"11.4","5",NA,"","2","",,NA,"940.7","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","-19.1","8",NA,"-1.0","7","-36.5","8","",,NA,"0.0","22",NA,"","0","",,NA,"852.8","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","-21.6","0",NA,"-1.0","0","-37.6","0","",,NA,"27.2","0",NA,"33.0","6","",,NA,"1226.1","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","-17.5","0",NA,"1.3","0","-35.9","0","",,NA,"39.7","0",NA,"37.0","9","",,NA,"1100.6","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","-25.3","10",NA,"-3.7","10","-45.3","10","",,NA,"1.5","11",NA,"","1","",,NA,"908.6","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-22.3","10",NA,"0.1","9","-41.3","1","",,NA,"30.2","10",NA,"33.0","3","",,NA,"846.2","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","-19.8","7",NA,"-1.2","7","-39.1","7","",,NA,"0.0","7",NA,"","0","",,NA,"907.7","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-21.5","0",NA,"0.2","0","-43.7","0","",,NA,"12.9","0",NA,"24.0","3","",,NA,"1224.1","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-19.5","0",NA,"1.4","0","-36.5","0","",,NA,"46.8","0",NA,"36.0","4","",,NA,"1163.0","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"1.6","1","",,"",,NA,"",,NA,"39.0","","",,NA,"","","6016529"
