"Environment and Climate Change Canada"
"Monthly Values for February - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","-17.8","5",NA,"3.2","5","-37.0","4","",,NA,"17.2","5",NA,"","1","",,NA,"822.9","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","-16.0","14",NA,"1.8","14","-32.1","14","",,NA,"14.7","14",NA,"","3","",,NA,"475.6","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","-17.3","1",NA,"1.7","1","-36.5","0","",,NA,"25.5","1",NA,"32.0","5","",,NA,"952.8","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","-9.5","1",NA,"12.5","1","-25.7","0","",,NA,"31.3","1",NA,"19.0","3","",,NA,"742.0","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","-22.7","8",NA,"0.3","8","-34.8","8","",,NA,"15.0","8",NA,"","2","",,NA,"814.1","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-15.5","0",NA,"3.7","0","-32.4","0","",,NA,"28.4","1",NA,"31.0","6","",,NA,"936.9","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","-14.8","9",NA,"3.5","9","-33.4","9","",,NA,"28.7","9",NA,"","3","",,NA,"624.0","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-20.1","3",NA,"0.6","3","-36.9","1","",,NA,"24.8","3",NA,"19.0","4","",,NA,"952.4","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-14.1","3",NA,"5.1","2","-27.0","2","",,NA,"21.4","3",NA,"32.0","9","",,NA,"802.5","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"5.3","0","",,"",,NA,"",,NA,"31.0","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"12.1","0","",,"",,NA,"",,NA,"15.0","","",,NA,"","","6016970"
"SANDY LAKE A","53.064","-93.344","ON","-14.9","18",NA,"6.3","18","-30.5","15","",,NA,"10.0","18",NA,"","2","",,NA,"328.8","0.0","6017401"
"BARWICK","48.633","-93.967","ON","-8.9","2","2.6","16.0","2","-33.0","2","23.4","2",NA,"37.8","2",NA,"14.0","6","","",NA,"700.6","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-9.0","0",NA,"12.1","0","-27.8","0","",,NA,"49.0","0",NA,"17.0","7","",,NA,"755.3","0.0","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","-9.2","1",NA,"13.2","1","-31.5","0","",,NA,"42.7","1",NA,"6.0","7","",,NA,"733.3","0.0","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","-8.9","0",NA,"12.5","0","-30.0","0","33.8","0",NA,"50.9","0",NA,"33.0","8","","",NA,"752.8","0.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","-9.1","5",NA,"11.6","5","-25.7","5","",,NA,"3.6","5",NA,"","1","",,NA,"622.6","0.0","6032125"
"KENORA RCS","49.791","-94.378","ON","-6.9","11",NA,"10.6","11","-23.4","11","",,NA,"16.6","11",NA,"18.0","1","",,NA,"423.1","0.0","6034073"
"KENORA A","49.788","-94.363","ON","-9.5","0",NA,"11.3","0","-28.8","0","22.0","0",NA,"39.6","0",NA,"14.0","6","",,NA,"768.6","0.0","6034076"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","-9.4","7",NA,"13.0","7","-28.8","6","",,NA,"34.5","7",NA,"","4","",,NA,"574.6","0.0","6036907"
"ROYAL ISLAND (AUT)","49.469","-94.763","ON","-8.9","0",NA,"11.5","0","-30.0","0","",,NA,"",,NA,"","","",,NA,"753.3","0.0","6037201"
"SIOUX LOOKOUT A","50.114","-91.908","ON","-10.2","0",NA,"10.7","0","-27.5","0","",,NA,"",,NA,"","","",,NA,"789.8","0.0","6037776"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-12.9","1",NA,"5.4","1","-29.7","0","",,NA,"94.2","1",NA,"33.0","17","",,NA,"834.7","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","-9.0","1",NA,"10.9","1","-23.8","0","",,NA,"36.2","1",NA,"13.0","9","",,NA,"728.9","0.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","-2.6","0",NA,"5.4","0","-12.7","0","",,NA,"",,NA,"","","",,NA,"576.9","0.0","6041222"
"GERALDTON A","49.779","-86.939","ON","-12.4","0",NA,"6.5","0","-30.5","0","31.4","0",NA,"27.0","0",NA,"44.0","8","",,NA,"850.5","0.0","6042717"
"HAZELWOOD","48.467","-89.267","ON","",,NA,"",,"",,"33.8","0",NA,"48.0","0",NA,"27.0","9","","",NA,"","","6043390"
"PUKASKWA (AUT)","48.608","-86.287","ON","-8.5","0",NA,"8.1","0","-23.4","0","",,NA,"71.1","0",NA,"43.0","12","",,NA,"740.9","0.0","6046768"
"THUNDER BAY","48.372","-89.322","ON","-8.8","1",NA,"11.2","1","-23.6","1","",,NA,"22.3","1",NA,"","3","",,NA,"723.5","0.0","6048260"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","-9.5","21",NA,"5.0","21","-20.0","21","27.8","21",NA,"27.8","21",NA,"","5","","",NA,"192.8","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","-8.4","0",NA,"11.3","0","-22.8","0","",,NA,"37.1","0",NA,"0.0","7","",,NA,"737.8","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","-10.1","0",NA,"10.3","0","-27.2","0","",,NA,"36.9","0",NA,"36.0","6","",,NA,"786.9","0.0","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","-6.6","0",NA,"11.2","0","-21.6","0","",,NA,"",,NA,"","","",,NA,"688.3","0.0","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","-10.2","1",NA,"6.0","1","-23.0","0","",,NA,"80.6","1",NA,"0.0","13","",,NA,"761.5","0.0","6049470"
"THUNDER BAY A FIREHALL","48.367","-89.317","ON","",,NA,"",,"",,"38.4","0",NA,"36.4","0",NA,"2.0","9","","",NA,"","","604S003"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","-11.7","13",NA,"1.2","13","-27.9","13","",,NA,"80.7","13",NA,"","11","",,NA,"445.0","0.0","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","-4.8","0",NA,"8.2","0","-21.5","0","92.9","0",NA,"80.4","0",NA,"31.0","18","",,NA,"638.7","0.0","6057591"
"WAWA A","47.967","-84.786","ON","",,NA,"8.1","0","",,"",,NA,"",,NA,"47.0","","",,NA,"","","6059407"
"KILLARNEY (AUT)","45.967","-81.483","ON","-3.7","0",NA,"8.2","0","-16.6","0","",,NA,"",,NA,"","","",,NA,"608.6","0.0","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","",,NA,"10.2","1","",,"",,NA,"",,NA,"57.0","","",,NA,"","","6061362"
"MASSEY","46.193","-82.025","ON","-5.7","0","3.9","9.5","0","-29.5","0","63.0","0","174.0","98.6","0","219.0","44.0","14","","",NA,"664.5","0.0","6065006"
"MONETVILLE 2","46.215","-80.303","ON","-8.4","9",NA,"6.0","9","-31.5","9","78.8","9",NA,"85.4","9",NA,"33.0","9","","",NA,"501.2","0.0","6065252"
"SUDBURY CLIMATE","46.632","-80.796","ON","-7.6","0",NA,"7.4","0","-26.2","0","",,NA,"78.5","0",NA,"34.0","13","",,NA,"718.1","0.0","6068145"
"SUDBURY A","46.626","-80.798","ON","-7.5","0",NA,"7.7","0","-28.1","0","66.1","0",NA,"78.9","0",NA,"20.0","14","",,NA,"715.3","0.0","6068153"
"BONNER LAKE","49.383","-82.124","ON","-12.8","0",NA,"6.0","0","-35.0","0","74.0","0",NA,"61.6","0",NA,"66.0","11","","",NA,"861.2","0.0","6070QK6"
"EARLTON A","47.695","-79.849","ON","-10.1","14",NA,"8.5","14","-33.6","13","",,NA,"10.9","14",NA,"","5","",,NA,"393.3","0.0","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","-9.5","0",NA,"8.8","0","-33.5","0","",,NA,"43.3","0",NA,"4.0","13","",,NA,"769.5","0.0","6072230"
"KAPUSKASING A","49.412","-82.468","ON","-12.5","0",NA,"7.5","0","-34.6","0","60.0","0",NA,"60.0","0",NA,"33.0","13","",,NA,"854.5","0.0","6073976"
"KAPUSKASING CDA ON","49.406","-82.444","ON","-12.9","0",NA,"6.6","0","-36.5","0","",,NA,"45.5","0",NA,"57.0","10","",,NA,"866.2","0.0","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","-10.9","0",NA,"7.1","0","-34.7","0","",,NA,"64.9","0",NA,"24.0","14","",,NA,"809.2","0.0","6074211"
"MOOSONEE","51.291","-80.608","ON","-15.7","7",NA,"3.7","7","-37.0","7","",,NA,"14.7","13",NA,"","3","",,NA,"707.6","0.0","6075420"
"MOOSONEE UA","51.267","-80.650","ON","-14.5","2","3.1","4.0","2","-36.5","2","34.4","2",NA,"36.6","2",NA,"53.0","7","","",NA,"843.7","0.0","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","-15.3","0",NA,"4.0","0","-36.1","0","",,NA,"34.8","1",NA,"66.0","7","",,NA,"932.9","0.0","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","-12.7","0",NA,"8.2","0","-33.3","0","",,NA,"38.4","0",NA,"55.0","11","",,NA,"859.0","0.0","6075543"
"OGOKI POST A","51.659","-85.901","ON","-14.4","0",NA,"4.0","0","-28.6","0","",,NA,"11.9","2",NA,"","3","",,NA,"907.4","0.0","6075786"
"TIMMINS CLIMATE","48.557","-81.390","ON","-11.8","0",NA,"7.0","0","-33.5","0","",,NA,"71.6","0",NA,"34.0","22","",,NA,"833.9","0.0","6078282"
"TIMMINS A","48.571","-81.377","ON","-11.3","0",NA,"15.2","0","-33.5","0","",,NA,"",,NA,"","","",,NA,"820.6","0.0","6078286"
"ALGONQUIN PARK EAST GATE","45.533","-78.267","ON","-7.5","0",NA,"10.4","0","-29.1","0","",,NA,"81.4","1",NA,"37.0","15","",,NA,"714.0","0.0","6080192"
"NORTH BAY A","46.364","-79.424","ON","-6.5","11",NA,"8.3","11","-27.7","11","",,NA,"36.8","11",NA,"","7","",,NA,"417.1","0.0","6085680"
