"Environment and Climate Change Canada"
"Monthly Values for March - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","-13.3","3",NA,"8.8","3","-36.6","3","",,NA,"6.3","3",NA,"","2","",,NA,"876.6","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","-9.5","12",NA,"4.6","12","-33.8","12","",,NA,"18.8","14",NA,"","3","",,NA,"522.8","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","-11.8","2",NA,"4.6","1","-34.7","1","",,NA,"49.0","2",NA,"24.0","7","",,NA,"864.0","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","-6.3","0",NA,"10.2","0","-27.2","0","",,NA,"25.9","0",NA,"3.0","5","",,NA,"753.9","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","-13.2","8",NA,"4.9","8","-37.1","8","",,NA,"12.3","8",NA,"","2","",,NA,"717.5","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-10.1","3",NA,"8.5","2","-33.4","1","",,NA,"20.2","3",NA,"15.0","4","",,NA,"786.2","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","-9.5","14",NA,"6.3","14","-35.8","14","",,NA,"25.4","14",NA,"","4","",,NA,"466.7","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-16.0","22",NA,"1.2","22","-35.4","14","",,NA,"3.7","23",NA,"","2","",,NA,"305.9","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","-9.1","0",NA,"10.2","0","-27.5","0","",,NA,"61.7","1",NA,"18.0","7","",,NA,"838.6","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"10.6","0","",,"",,NA,"",,NA,"22.0","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"8.8","0","",,"",,NA,"",,NA,"6.0","","",,NA,"","","6016970"
"SANDY LAKE A","53.064","-93.344","ON","",,NA,"",,"-28.4","29","",,NA,"",,NA,"","","",,NA,"","","6017401"
"BARWICK","48.633","-93.967","ON","-3.6","0","0.8","14.0","0","-25.0","0","6.4","0","34.0","11.6","0","39.0","0.0","3","","",NA,"670.6","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","-5.8","0",NA,"13.7","0","-27.7","0","",,NA,"30.6","0",NA,"0.0","4","",,NA,"736.6","0.0","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","-5.1","0",NA,"13.6","0","-27.3","0","",,NA,"17.6","0",NA,"","3","",,NA,"714.8","0.0","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","-5.6","0",NA,"15.0","0","-28.5","0","11.0","0",NA,"21.7","0",NA,"3.0","5","","",NA,"731.7","0.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","-6.0","4",NA,"11.7","4","-27.0","4","",,NA,"4.3","4",NA,"","2","",,NA,"648.7","0.0","6032125"
"KENORA RCS","49.791","-94.378","ON","-5.5","1",NA,"12.6","1","-26.7","0","",,NA,"11.2","1",NA,"0.0","2","",,NA,"705.2","0.0","6034073"
"KENORA A","49.788","-94.363","ON","-5.3","1",NA,"12.3","0","-26.9","1","20.3","0",NA,"13.9","0",NA,"0.0","4","",,NA,"699.6","0.0","6034076"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","-8.6","8",NA,"8.1","8","-27.6","8","",,NA,"23.1","8",NA,"","6","",,NA,"610.7","0.0","6036907"
"ROYAL ISLAND (AUT)","49.469","-94.763","ON","-4.7","0",NA,"12.8","0","-25.0","0","",,NA,"",,NA,"","","",,NA,"704.3","0.0","6037201"
"SIOUX LOOKOUT A","50.114","-91.908","ON","-7.2","0",NA,"12.1","0","-29.0","0","",,NA,"",,NA,"","","",,NA,"781.0","0.0","6037776"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-9.4","0",NA,"11.7","0","-30.4","0","",,NA,"67.9","22",NA,"26.0","7","",,NA,"849.2","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","-6.4","3",NA,"11.3","2","-24.5","1","",,NA,"23.5","3",NA,"0.0","4","",,NA,"682.6","0.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","-2.8","1",NA,"7.7","1","-14.0","1","",,NA,"",,NA,"","","",,NA,"622.5","0.0","6041222"
"GERALDTON A","49.779","-86.939","ON","-9.5","0",NA,"11.2","0","-31.9","0","23.0","0",NA,"24.0","0",NA,"24.0","6","",,NA,"851.9","0.0","6042717"
"HAZELWOOD","48.467","-89.267","ON","",,NA,"",,"",,"23.6","0",NA,"39.8","0",NA,"19.0","5","","",NA,"","","6043390"
"PUKASKWA (AUT)","48.608","-86.287","ON","-6.6","2",NA,"12.8","1","-28.3","1","",,NA,"23.6","2",NA,"18.0","6","",,NA,"712.9","0.0","6046768"
"THUNDER BAY","48.372","-89.322","ON","-5.2","2",NA,"14.3","2","-23.2","2","",,NA,"17.9","2",NA,"","5","",,NA,"673.0","0.0","6048260"
