"Environment and Climate Change Canada"
"Monthly Values for April - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","-5.2","10",NA,"7.4","10","-16.6","10","",,NA,"2.7","10",NA,"","1","",,NA,"464.2","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","-3.0","4",NA,"13.7","4","-19.2","4","",,NA,"15.4","4",NA,"","4","",,NA,"545.1","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","-3.4","2",NA,"13.4","2","-19.0","0","",,NA,"33.7","2",NA,"41.0","6","",,NA,"599.7","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","2.9","0",NA,"17.7","0","-9.3","0","",,NA,"23.7","1",NA,"0.0","5","",,NA,"453.2","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","-9.1","5",NA,"8.6","5","-22.8","5","",,NA,"6.9","5",NA,"","4","",,NA,"678.7","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","-0.9","1",NA,"17.7","1","-16.5","1","",,NA,"33.8","1",NA,"12.0","7","",,NA,"548.4","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","-2.0","10",NA,"16.1","10","-17.3","10","",,NA,"11.4","10",NA,"","1","",,NA,"399.5","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","-7.5","12",NA,"8.6","11","-23.9","9","",,NA,"23.0","12",NA,"7.0","3","",,NA,"459.7","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","0.2","0",NA,"16.6","0","-12.7","0","",,NA,"75.5","0",NA,"15.0","7","",,NA,"533.0","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"16.6","1","",,"",,NA,"",,NA,"20.0","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"17.0","0","",,"",,NA,"",,NA,"1.0","","",,NA,"","","6016970"
"SANDY LAKE A","53.064","-93.344","ON","-0.9","17",NA,"17.1","17","-13.7","17","",,NA,"7.4","17",NA,"","2","",,NA,"245.8","0.0","6017401"
"BARWICK","48.633","-93.967","ON","4.9","2","0.4","19.0","2","-6.0","2","6.6","2",NA,"28.2","2",NA,"0.0","8","","",NA,"367.6","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","3.2","1",NA,"20.5","1","-10.1","0","",,NA,"43.4","1",NA,"","7","",,NA,"430.3","0.0","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","3.6","4",NA,"19.6","4","-8.6","0","",,NA,"38.6","4",NA,"","5","",,NA,"374.2","0.0","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","3.8","0",NA,"19.5","0","-10.0","0","10.2","0",NA,"44.0","0",NA,"0.0","10","","",NA,"424.7","0.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","3.9","5",NA,"16.8","5","-8.7","5","",,NA,"23.0","5",NA,"","5","",,NA,"352.9","0.0","6032125"
"KENORA RCS","49.791","-94.378","ON","4.1","0",NA,"17.3","0","-8.4","0","",,NA,"30.9","0",NA,"","5","",,NA,"415.8","0.0","6034073"
"KENORA A","49.788","-94.363","ON","4.0","0",NA,"17.2","0","-8.5","0","34.4","0",NA,"37.4","0",NA,"0.0","4","",,NA,"418.8","0.0","6034076"
"RAWSON LAKE","49.650","-93.717","ON","2.4","19","-1.4","17.0","19","-7.0","19","5.4","19",NA,"42.4","19",NA,"0.0","4","","",NA,"171.4","0.0","6036904"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","3.3","7",NA,"16.9","7","-8.4","5","",,NA,"47.3","7",NA,"","8","",,NA,"338.2","0.0","6036907"
"ROYAL ISLAND (AUT)","49.469","-94.763","ON","4.7","3",NA,"17.4","3","-6.5","1","",,NA,"",,NA,"","","",,NA,"359.2","0.0","6037201"
"SIOUX LOOKOUT A","50.114","-91.908","ON","2.0","0",NA,"19.6","0","-10.5","0","",,NA,"",,NA,"","","",,NA,"480.9","0.0","6037776"
"ARMSTRONG (AUT)","50.294","-88.905","ON","-0.1","2",NA,"17.4","2","-11.1","0","",,NA,"78.3","8",NA,"21.0","7","",,NA,"506.8","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","2.2","0",NA,"20.8","0","-7.3","0","",,NA,"70.6","0",NA,"8.0","7","",,NA,"474.5","0.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","3.3","2",NA,"10.2","2","-3.0","0","",,NA,"",,NA,"","","",,NA,"411.0","0.0","6041222"
"GERALDTON A","49.779","-86.939","ON","0.7","0",NA,"20.4","0","-10.5","0","25.0","0",NA,"85.0","0",NA,"9.0","7","",,NA,"520.4","0.0","6042717"
"HAZELWOOD","48.467","-89.267","ON","",,NA,"",,"",,"7.4","2",NA,"33.8","2",NA,"0.0","4","","",NA,"","","6043390"
"PUKASKWA (AUT)","48.608","-86.287","ON","2.6","0",NA,"15.3","0","-7.0","0","",,NA,"62.9","0",NA,"0.0","5","",,NA,"462.8","0.0","6046768"
"THUNDER BAY","48.372","-89.322","ON","4.0","9",NA,"21.1","8","-7.4","9","",,NA,"29.6","9",NA,"","4","",,NA,"293.1","0.0","6048260"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","4.7","18",NA,"21.0","18","-6.0","18","0.0","18",NA,"7.6","18",NA,"","3","","",NA,"160.1","0.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","3.2","0",NA,"20.9","0","-7.1","0","",,NA,"46.1","8",NA,"","6","",,NA,"444.3","0.0","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","1.9","2",NA,"19.0","2","-9.9","2","",,NA,"62.5","2",NA,"","9","",,NA,"451.8","0.0","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","1.7","12",NA,"13.6","11","-5.9","11","",,NA,"",,NA,"","","",,NA,"293.2","0.0","6049443"
"LITTLE FLATLAND ISLAND (AUT)","49.690","-88.306","ON","-0.1","3",NA,"12.1","3","-8.6","2","",,NA,"91.4","9",NA,"4.0","11","",,NA,"487.9","0.0","6049470"
"THUNDER BAY A FIREHALL","48.367","-89.317","ON","",,NA,"",,"",,"0.0","16",NA,"1.6","16",NA,"","1","","",NA,"","","604S003"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","2.8","0",NA,"18.2","0","-7.3","0","",,NA,"99.1","0",NA,"8.0","13","",,NA,"456.6","0.0","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","4.9","0",NA,"19.7","0","-4.9","0","3.0","0",NA,"65.7","0",NA,"0.0","10","",,NA,"392.1","0.0","6057591"
"WAWA A","47.967","-84.786","ON","",,NA,"19.4","2","",,"",,NA,"",,NA,"","","",,NA,"","","6059407"
