"Environment and Climate Change Canada"
"Monthly Values for May - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","4.4","11",NA,"24.1","11","-14.0","10","",,NA,"11.2","11",NA,"","4","",,NA,"272.1","0.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","4.1","12",NA,"21.1","12","-9.8","10","",,NA,"0.8","18",NA,"","0","",,NA,"264.9","0.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","5.1","4",NA,"22.2","3","-9.7","2","",,NA,"34.0","4",NA,"","8","",,NA,"347.6","0.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","9.4","0",NA,"22.8","0","-1.6","0","",,NA,"22.1","0",NA,"","7","",,NA,"267.9","0.0","6012199"
"FORT SEVERN A","56.019","-87.676","ON","0.9","12",NA,"25.2","12","-17.0","11","",,NA,"4.9","12",NA,"","2","",,NA,"325.0","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","6.2","4",NA,"25.2","3","-8.9","2","",,NA,"68.7","4",NA,"","8","",,NA,"320.0","0.3","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","6.7","6",NA,"23.7","6","-6.8","6","",,NA,"34.2","6",NA,"","4","",,NA,"282.0","0.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","2.2","4",NA,"24.4","3","-18.1","2","",,NA,"30.3","4",NA,"","7","",,NA,"425.4","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","7.8","1",NA,"22.4","1","-6.4","0","",,NA,"63.9","1",NA,"","8","",,NA,"307.2","0.0","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"22.4","0","",,"",,NA,"",,NA,"","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"21.9","0","",,"",,NA,"",,NA,"","","",,NA,"","","6016970"
"SANDY LAKE A","53.064","-93.344","ON","8.6","5",NA,"23.1","5","-6.4","5","",,NA,"35.0","5",NA,"","6","",,NA,"243.4","0.0","6017401"
"BARWICK","48.633","-93.967","ON","10.2","0","-1.2","24.5","0","-4.0","0","0.0","0","0.0","38.4","0","50.0","0.0","7","","",NA,"241.8","0.0","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","8.9","0",NA,"23.6","0","-4.0","0","",,NA,"54.6","0",NA,"","11","",,NA,"280.9","0.0","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","9.3","6",NA,"24.3","5","-4.2","6","",,NA,"46.9","6",NA,"","14","",,NA,"217.8","0.0","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","9.4","2",NA,"28.5","1","-4.5","1","0.0","1",NA,"59.6","1",NA,"0.0","11","","",NA,"250.8","0.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","9.3","5",NA,"23.8","5","-1.5","5","",,NA,"35.2","5",NA,"","6","",,NA,"225.2","0.0","6032125"
"KENORA RCS","49.791","-94.378","ON","10.5","0",NA,"23.0","0","0.4","0","",,NA,"21.6","0",NA,"","7","",,NA,"233.3","0.0","6034073"
"KENORA A","49.788","-94.363","ON","10.5","0",NA,"23.1","0","0.2","0","0.0","0",NA,"28.7","0",NA,"","9","",,NA,"231.2","0.0","6034076"
"RAWSON LAKE","49.650","-93.717","ON","10.2","0","-1.0","24.5","0","-1.5","0","0.0","0","0.0","32.6","0","43.0","0.0","8","","",NA,"241.6","0.0","6036904"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","9.7","0",NA,"23.7","0","-1.4","0","",,NA,"29.5","0",NA,"","6","",,NA,"255.9","0.0","6036907"
"ROYAL ISLAND (AUT)","49.469","-94.763","ON","11.7","4",NA,"24.0","3","1.6","2","",,NA,"",,NA,"","","",,NA,"171.6","0.2","6037201"
"SIOUX LOOKOUT A","50.114","-91.908","ON","8.2","0",NA,"22.8","0","-4.5","0","",,NA,"",,NA,"","","",,NA,"303.4","0.0","6037776"
"ARMSTRONG (AUT)","50.294","-88.905","ON","6.2","5",NA,"23.9","4","-9.6","2","",,NA,"36.9","8",NA,"","6","",,NA,"307.8","0.0","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","6.9","4",NA,"21.8","3","-3.8","2","",,NA,"37.7","4",NA,"","6","",,NA,"298.9","0.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","5.7","4",NA,"15.7","3","-0.1","2","",,NA,"",,NA,"","","",,NA,"332.5","0.0","6041222"
"GERALDTON A","49.779","-86.939","ON","7.2","1",NA,"23.5","1","-6.5","0","3.4","0",NA,"44.9","0",NA,"","10","",,NA,"323.4","0.0","6042717"
"HAZELWOOD","48.467","-89.267","ON","",,NA,"",,"",,"0.0","3",NA,"90.8","3",NA,"","12","","",NA,"","","6043390"
"PUKASKWA (AUT)","48.608","-86.287","ON","7.3","4",NA,"22.1","3","-5.1","2","",,NA,"58.2","4",NA,"","11","",,NA,"289.0","0.0","6046768"
"THUNDER BAY","48.372","-89.322","ON","7.8","5",NA,"23.9","5","-5.5","5","",,NA,"70.8","5",NA,"","9","",,NA,"264.4","0.0","6048260"
