"Environment and Climate Change Canada"
"Monthly Values for June - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","10.6","3",NA,"31.2","3","-0.6","3","",,NA,"0.0","18",NA,"","0","",,NA,"202.5","2.3","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","12.3","14",NA,"28.1","14","1.9","13","",,NA,"47.4","15",NA,"","8","",,NA,"93.4","2.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","12.1","1",NA,"28.2","1","0.1","1","",,NA,"50.4","1",NA,"","10","",,NA,"174.8","3.0","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","15.9","0",NA,"27.9","0","5.3","0","",,NA,"53.0","0",NA,"","11","",,NA,"68.0","6.1","6012199"
"FORT SEVERN A","56.019","-87.676","ON","7.3","9",NA,"30.0","9","-2.2","9","",,NA,"3.1","9",NA,"","2","",,NA,"226.4","0.7","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","13.0","10",NA,"28.3","10","0.7","9","",,NA,"149.0","11",NA,"","8","",,NA,"99.5","0.0","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","13.5","12",NA,"29.7","12","-0.7","11","",,NA,"85.9","12",NA,"","9","",,NA,"85.1","3.8","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","8.4","1",NA,"26.4","1","-2.7","1","",,NA,"50.8","1",NA,"","9","",,NA,"279.2","0.0","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","14.8","0",NA,"28.4","0","1.8","0","",,NA,"49.1","0",NA,"","8","",,NA,"100.9","5.2","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"28.5","0","",,"",,NA,"",,NA,"","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"28.2","0","",,"",,NA,"",,NA,"","","",,NA,"","","6016970"
