"Environment and Climate Change Canada"
"Monthly Values for July - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","14.8","1",NA,"31.5","1","1.0","1","",,NA,"0.0","27",NA,"","0","",,NA,"112.4","15.3","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","16.5","4",NA,"30.1","4","0.5","3","",,NA,"0.0","5",NA,"","0","",,NA,"65.5","24.2","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","16.5","0",NA,"30.4","0","-0.4","0","",,NA,"80.0","0",NA,"","10","",,NA,"74.3","29.2","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","18.8","0",NA,"30.9","0","7.9","0","",,NA,"57.6","0",NA,"","8","",,NA,"18.3","43.1","6012199"
"FORT SEVERN A","56.019","-87.676","ON","13.9","4",NA,"32.6","4","-0.2","4","",,NA,"39.3","4",NA,"","10","",,NA,"125.9","15.2","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","17.0","0",NA,"31.1","0","3.1","0","",,NA,"29.9","1",NA,"","4","",,NA,"60.0","29.3","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","17.3","9",NA,"29.7","9","3.1","9","",,NA,"44.6","9",NA,"","6","",,NA,"41.3","24.9","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","13.3","6",NA,"31.9","6","-1.0","0","",,NA,"33.1","6",NA,"","7","",,NA,"132.2","15.9","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","18.7","0",NA,"30.9","0","8.3","0","",,NA,"32.6","0",NA,"","11","",,NA,"26.3","46.5","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"31.4","1","",,"",,NA,"",,NA,"","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"30.3","0","",,"",,NA,"",,NA,"","","",,NA,"","","6016970"
"SANDY LAKE A","53.064","-93.344","ON","18.0","14",NA,"29.6","12","5.6","13","",,NA,"23.5","13",NA,"","4","",,NA,"20.7","20.8","6017401"
"BARWICK","48.633","-93.967","ON","18.9","0","-0.1","31.0","0","6.0","0","0.0","0",NA,"33.4","0","32.0","0.0","7","","",NA,"21.6","49.6","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","17.8","0",NA,"29.5","0","6.1","0","",,NA,"124.8","4",NA,"","13","",,NA,"31.7","26.5","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","17.6","0",NA,"30.8","0","4.3","0","",,NA,"84.2","0",NA,"","18","",,NA,"40.0","28.2","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","17.9","0",NA,"30.5","0","5.5","0","0.0","0",NA,"81.9","0",NA,"0.0","8","","",NA,"35.6","33.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","19.5","3",NA,"30.9","3","9.7","3","",,NA,"142.5","3",NA,"","7","",,NA,"16.2","57.0","6032125"
"KENORA RCS","49.791","-94.378","ON","19.7","1",NA,"30.3","1","10.4","0","",,NA,"173.8","2",NA,"","7","",,NA,"12.7","63.3","6034073"
"KENORA A","49.788","-94.363","ON","19.6","2",NA,"30.2","1","10.7","1","0.0","0",NA,"186.3","0",NA,"","9","",,NA,"12.8","60.6","6034076"
"RAWSON LAKE","49.650","-93.717","ON","19.1","0","-0.2","31.5","0","6.5","0","0.0","0",NA,"142.1","0","146.0","0.0","8","","",NA,"21.5","57.0","6036904"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","17.0","27",NA,"25.8","27","9.4","27","",,NA,"9.2","27",NA,"","2","",,NA,"6.6","2.4","6036907"
"ROYAL ISLAND (AUT)","49.469","-94.763","ON","20.9","1",NA,"31.5","1","12.4","0","",,NA,"",,NA,"","","",,NA,"5.5","92.6","6037201"
"SIOUX LOOKOUT A","50.114","-91.908","ON","17.6","0",NA,"30.8","0","5.2","0","",,NA,"",,NA,"","","",,NA,"40.0","27.9","6037776"
"ARMSTRONG (AUT)","50.294","-88.905","ON","16.9","1",NA,"32.9","1","1.3","0","",,NA,"67.2","1",NA,"","6","",,NA,"53.2","20.7","6040325"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","17.7","0",NA,"30.4","0","6.8","0","",,NA,"33.4","0",NA,"","7","",,NA,"36.3","27.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","12.9","3",NA,"22.1","3","6.1","0","",,NA,"",,NA,"","","",,NA,"143.8","0.0","6041222"
"GERALDTON A","49.779","-86.939","ON","17.1","1",NA,"30.1","1","4.2","0","0.0","0",NA,"66.9","0",NA,"","10","",,NA,"46.6","19.7","6042717"
"HAZELWOOD","48.467","-89.267","ON","",,NA,"",,"",,"0.0","3",NA,"60.6","3",NA,"0.0","7","","",NA,"","","6043390"
"PUKASKWA (AUT)","48.608","-86.287","ON","14.4","3",NA,"25.1","3","5.4","0","",,NA,"12.8","3",NA,"","4","",,NA,"104.2","2.0","6046768"
"THUNDER BAY","48.372","-89.322","ON","18.1","5",NA,"32.1","5","4.7","5","",,NA,"61.8","5",NA,"","10","",,NA,"28.9","32.5","6048260"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","18.5","11",NA,"33.0","11","6.0","11","0.0","12",NA,"45.6","12",NA,"0.0","7","","",NA,"19.2","28.9","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","17.9","0",NA,"31.8","0","4.7","0","",,NA,"66.2","0",NA,"","12","",,NA,"35.5","31.1","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","16.5","3",NA,"29.7","3","4.2","0","",,NA,"90.0","3",NA,"","9","",,NA,"55.1","14.1","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","17.5","0",NA,"29.9","0","10.8","0","",,NA,"",,NA,"","","",,NA,"39.8","23.0","6049443"
