"Environment and Climate Change Canada"
"Monthly Values for August - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","12.8","4",NA,"29.2","4","0.1","2","",,NA,"",,NA,"","","",,NA,"142.8","2.0","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","15.1","1",NA,"26.6","1","2.2","1","",,NA,"0.0","1",NA,"","0","",,NA,"96.4","10.0","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","14.9","0",NA,"27.0","0","1.4","0","",,NA,"12.0","0",NA,"","3","",,NA,"106.7","9.1","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","17.3","7",NA,"29.9","7","5.0","6","",,NA,"14.9","7",NA,"","4","",,NA,"35.3","17.4","6012199"
"FORT SEVERN A","56.019","-87.676","ON","13.2","11",NA,"27.5","11","0.9","9","",,NA,"18.6","11",NA,"","7","",,NA,"103.8","7.1","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","14.4","0",NA,"27.3","0","-0.3","0","",,NA,"44.5","0",NA,"","5","",,NA,"115.7","2.8","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","15.1","5",NA,"27.2","5","1.4","5","",,NA,"21.1","6",NA,"","3","",,NA,"81.2","7.0","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","12.5","4",NA,"27.3","4","-0.9","1","",,NA,"20.5","5",NA,"","5","",,NA,"155.9","6.4","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","15.8","1",NA,"26.9","1","3.5","0","",,NA,"32.8","1",NA,"","5","",,NA,"73.5","8.8","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"27.1","6","",,"",,NA,"",,NA,"","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"28.2","0","",,"",,NA,"",,NA,"","","",,NA,"","","6016970"
"SANDY LAKE A","53.064","-93.344","ON","16.0","17",NA,"25.4","17","4.4","14","",,NA,"20.0","14",NA,"","5","",,NA,"33.4","5.5","6017401"
