"Environment and Climate Change Canada"
"Monthly Values for September - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","10.5","0",NA,"23.9","0","-0.4","0","",,NA,"0.0","27",NA,"","0","",,NA,"225.6","0.4","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","10.5","3",NA,"25.0","1","-0.8","3","",,NA,"0.0","2",NA,"","0","",,NA,"205.2","1.5","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","10.5","0",NA,"25.0","0","-1.0","0","",,NA,"75.6","0",NA,"","11","",,NA,"225.9","1.5","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","12.7","0",NA,"28.9","0","3.6","0","",,NA,"159.3","0",NA,"","12","",,NA,"162.3","3.7","6012199"
"FORT SEVERN A","56.019","-87.676","ON","9.4","6",NA,"26.8","6","-3.9","6","",,NA,"58.1","6",NA,"","9","",,NA,"206.5","0.0","6012501"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","11.9","8",NA,"26.6","8","0.0","8","",,NA,"58.5","10",NA,"","10","",,NA,"136.7","2.1","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","16.2","27",NA,"23.7","27","6.1","26","",,NA,"5.5","27",NA,"","1","",,NA,"5.7","0.4","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","10.1","6",NA,"25.2","6","-5.1","5","",,NA,"51.2","6",NA,"","7","",,NA,"190.1","0.6","6016295"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","11.3","1",NA,"26.7","1","1.6","0","",,NA,"100.4","1",NA,"","16","",,NA,"198.2","3.2","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","",,NA,"26.9","2","",,"",,NA,"",,NA,"","","",,NA,"","","6016529"
"RED LAKE A","51.067","-93.793","ON","",,NA,"27.7","0","",,"",,NA,"",,NA,"","","",,NA,"","","6016970"
"SANDY LAKE A","53.064","-93.344","ON","10.6","17",NA,"27.4","17","0.2","14","",,NA,"73.2","15",NA,"","6","",,NA,"98.6","3.0","6017401"
"BARWICK","48.633","-93.967","ON","14.5","0","1.8","30.0","0","2.0","0","0.0","0","0.0","132.6","0","174.0","0.0","12","","",NA,"115.3","9.6","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","13.0","0",NA,"27.6","0","0.5","0","",,NA,"156.3","0",NA,"","14","",,NA,"157.7","6.7","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","12.3","0",NA,"29.0","0","-2.5","0","",,NA,"80.0","0",NA,"","11","",,NA,"172.9","0.4","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","13.5","1",NA,"28.0","1","-1.0","0","0.0","0",NA,"141.0","0",NA,"0.0","17","","",NA,"135.6","4.6","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","13.5","10",NA,"28.4","10","4.9","10","",,NA,"115.7","10",NA,"","9","",,NA,"95.3","5.1","6032125"
"KENORA RCS","49.791","-94.378","ON","13.5","0",NA,"27.7","0","5.1","0","",,NA,"151.1","0",NA,"","12","",,NA,"142.8","9.2","6034073"
"KENORA A","49.788","-94.363","ON","13.6","0",NA,"27.4","0","5.0","0","0.0","0",NA,"160.7","0",NA,"","13","",,NA,"141.8","9.2","6034076"
"RAWSON LAKE","49.650","-93.717","ON","13.6","0","1.3","29.0","0","3.5","0","0.0","0","0.0","148.5","0","166.0","0.0","13","","",NA,"140.7","8.5","6036904"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","13.1","1",NA,"28.8","1","3.4","0","",,NA,"119.5","1",NA,"","11","",,NA,"148.4","5.3","6036907"
"ROYAL ISLAND (AUT)","49.469","-94.763","ON","14.8","5",NA,"26.8","5","7.5","1","",,NA,"",,NA,"","","",,NA,"86.9","7.8","6037201"
"SIOUX LOOKOUT A","50.114","-91.908","ON","12.4","0",NA,"28.1","0","-1.0","0","",,NA,"",,NA,"","","",,NA,"170.0","2.1","6037776"
